title,author,price,year_bought,genre
Where the Crawdads Sing,Delia Owens,10,2022,Fiction
Where the Crawdads Sing,Delia Owens,12,2020,Fiction
The Midnight Library: A Novel,Matt Haig,13,2022,Fiction
The Midnight Library: A Novel,Matt Haig,13,2021,Fiction
A Promised Land,Barack Obama,16,2020,Non Fiction
Becoming,Michelle Obama,21,2020,Non Fiction
The Silent Patient,Alex Michaelides,20,2020,Fiction
Too Much and Never Enough: How My Family Created the World's Most Dangerous Man,Mary L. Trump Ph.D.,10,2020,Non Fiction
The Four Winds: A Novel,Kristin Hannah,14,2021,Fiction
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,10,2021,Fiction
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,10,2022,Fiction
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,10,2020,Fiction
The Vanishing Half: A Novel,Brit Bennett,13,2020,Fiction
Midnight Sun,Stephenie Meyer,14,2020,Fiction
The Last Thing He Told Me: A Novel,Laura Dave,14,2021,Fiction
The Last Thing He Told Me: A Novel,Laura Dave,14,2022,Fiction
It Ends with Us: A Novel (1),Colleen Hoover,11,2022,Fiction
It Ends with Us: A Novel (1),Colleen Hoover,11,2021,Fiction
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,8,2020,Non Fiction
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,8,2022,Non Fiction
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,8,2021,Non Fiction
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,12,2021,Non Fiction
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,12,2020,Non Fiction
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,12,2022,Non Fiction
Verity,Colleen Hoover,11,2022,Fiction
"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Paulo Coelho,9,2021,Fiction
"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Paulo Coelho,9,2022,Fiction
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,13,2021,Non Fiction
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,7,2022,Non Fiction
"My First Learn-to-Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",Crystal Radke,5,2021,Non Fiction
"My First Learn-to-Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",Crystal Radke,5,2020,Non Fiction
"My First Learn-to-Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",Crystal Radke,5,2022,Non Fiction
The Wonky Donkey,Craig Smith,5,2020,Fiction
American Dirt (Oprah's Book Club): A Novel,Jeanine Cummins,14,2020,Fiction
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,14,2022,Non Fiction
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,14,2021,Non Fiction
If Animals Kissed Good Night,Ann Whitford Paul,4,2020,Fiction
If Animals Kissed Good Night,Ann Whitford Paul,4,2021,Fiction
If Animals Kissed Good Night,Ann Whitford Paul,4,2022,Fiction
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,8,2021,Non Fiction
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,8,2020,Non Fiction
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,8,2022,Non Fiction
How to Win Friends & Influence People,Dale Carnegie,11,2022,Non Fiction
How to Win Friends & Influence People,Dale Carnegie,11,2021,Non Fiction
Educated: A Memoir,Tara Westover,13,2020,Non Fiction
The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,9,2021,Fiction
The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,9,2022,Fiction
"School Zone - Big Preschool Workbook - 320 Pages, Ages 3 to 5, Colors, Shapes, Numbers, Early Math, Alphabet, Pre-Writing, Phonics, Following Directions, and More (School Zone Big Workbook Series)",School Zone,6,2020,Non Fiction
