order,titles,authors,genres,editorial,countries,languages,orig_language,pages,dates
81,My Hero Academia nº 03,"Horikoshi, Kohei",Novelas gráficas: manga,Planeta Cómic,España,Español,Japonés,192,21-02-2017
41,La canción de Aquiles (AdN),"Miller, Madeline",MITOS Y LEYENDAS NARRADOS COMO FICCIÓN,Alianza Editorial,España,Español,Inglés,392,04-03-2021
61,Isadora Moon y el hada de los dientes (Isadora Moon 10),"Muncaster, Harriet",Relatos sobre la familia y el hogar (infantil/juvenil),ALFAGUARA,España,Español,Inglés,128,04-02-2021
91,El lunes nos querrán,"El Hachmi, Najat",Ficción moderna y contemporanea,Ediciones Destino,España,Español,Español,304,10-02-2021
71,Boulevard,"Mojarraz Salvador, Flor Guadal",Ficción de crimen y misterio (infantil/juvenil),Editorial Naranja,España,Español,Español,316,01-05-2020
62,Los Compas escapan de la prisión (nueva presentación),"Mikecrack, El Trollino y Timba Vk",Edad de interés: a partir de 10 años,Ediciones Martínez Roca,España,Español,Español,224,29-10-2020
42,Biografía de la luz,"d'Ors, Pablo",Ficción moderna y contemporanea,Galaxia Gutenberg,España,Español,Español,576,10-02-2021
82,Harry Potter y la piedra filosofal (Ed. Minalima) (Harry Potter 1),"Rowling, J.K.",Ficción clásica (infantil/juvenil),Salamandra Infantil y Juvenil,España,Español,Inglés,368,12-11-2020
72,1793,"Natt Och Dag, Niklas",c. 1700-c. 1800,SALAMANDRA,España,Español,Sueco,432,16-01-2020
63,Resetea tu mente. Descubre de lo que eres capaz,"Puig, Mario Alonso",Autoayuda y desarrollo personal,Espasa,España,Español,Español,224,24-03-2021
43,Los Compas y la cámara del tiempo,"Mikecrack, El Trollino y Timba Vk",Edad de interés: a partir de 8 años,Ediciones Martínez Roca,España,Español,Español,224,09-06-2020
92,Feria,"Simón, Ana Iris",EUROPA,Círculo de Tiza,España,Español,Español,240,29-09-2020
83,La hora de las gaviotas,"Martín, Ibon",Género policíaco y misterio,PLAZA & JANES,España,Español,Español,464,14-01-2021
73,La red de protección (Comisario Montalbano 30),"Camilleri, Andrea",Sicilia,SALAMANDRA,España,Español,Italiano,272,11-03-2021
64,¡Resuelve el misterio! 1. El secreto de la mansión,Magaziner Lauren,Relatos de aventuras (infantil/juvenil),RBA Molino,España,Español,Inglés,432,18-04-2019
84,El día que se perdió la cordura,"Castillo, Javier",Obra de misterio y suspense,DEBOLSILLO,España,Español,Español,456,09-05-2019
31,Terra Alta,"Cercas, Javier",Ficción moderna y contemporanea,Booket,España,Español,Español,384,17-02-2021
51,Línea de fuego,"Pérez-Reverte, Arturo",Ficción histórica,ALFAGUARA,España,Español,Español,688,06-10-2020
21,Los privilegios del ángel,"Redondo, Dolores",Ficción moderna y contemporanea,Booket,España,Español,Español,304,13-01-2021
11,Hamnet,"O'Farrell, Maggie",Ficción histórica,Libros del Asteroide,España,Español,Inglés,352,22-02-2021
44,Anna Kadabra 1. El Club de la Luna Llena,"Mañas, Pedro / Sierra Listón, David",Libros de cuentos ilustrados,Destino Infantil & Juvenil,España,Español,Español,128,11-02-2020
65,El hombre en busca de sentido,"Frankl, Viktor Emil",Español / Castellano,Herder Editorial,España,Español,Alemán,168,04-12-2015
74,Las aventuras de Dani y Evan 3. Entrenadores de dinosaurios,Las aventuras de Dani y Evan,Edad de interés: a partir de 5 años,Destino Infantil & Juvenil,España,Español,Español,144,31-03-2021
1,El juego del alma,"Castillo, Javier",Género policíaco y misterio,SUMA,España,Español,Español,528,25-03-2021
85,El evangelio según María Magdalena,"Fallarás, Cristina",a.     e. c.-c. 500 c. e.,B (Ediciones B),España,Español,Español,240,21-01-2021
66,El vizconde que me amó (Bridgerton 2),"Quinn, Julia",Narrativa romántica histórica,Titania,España,Español,Inglés,352,07-01-2020
45,Todo lo que sucedió con Miranda Huff,"Castillo, Javier",Ficción moderna y contemporanea,DEBOLSILLO,España,Español,Español,448,14-01-2021
75,Panza de burro,"Abreu, Andrea",Ficción moderna y contemporanea,Editorial Barrett,España,Español,Español,176,15-04-2020
2,Tomás Nevinson,"Marías, Javier",Ficción moderna y contemporanea,ALFAGUARA,España,Español,Español,688,11-03-2021
32,Sapiens. De animales a dioses,"Harari, Yuval Noah",Historia general y mundial,DEBATE,España,Español,Hebreo,496,07-10-2015
22,Rey blanco,"Gómez-Jurado, Juan",Obra de misterio y suspense,B (Ediciones B),España,Español,Español,528,05-11-2020
12,Llévame a casa,"Carrasco, Jesús",Ficción moderna y contemporanea,Seix Barral,España,Español,Español,320,03-02-2021
86,El chisme,"Mejide, Risto",Ficción moderna y contemporanea,Espasa,España,Español,Español,224,10-03-2021
46,Canto jo i la muntanya balla,"Solà Saez, Irene",Ficción moderna y contemporanea,Editorial Anagrama,España,Español,Catalán,192,08-05-2019
76,"Las Ratitas 1. Tres, dos, uno... ¡superpoderes!","Ratitas, Las",Ficción general (infantil/juvenil),Destino Infantil & Juvenil,España,Español,Español,144,19-05-2020
67,Seis Cuatro,"Yokoyama, Hideo",Género policíaco y misterio,SALAMANDRA,España,Español,Inglés,656,14-01-2021
3,Independencia,"Cercas, Javier",Ficción moderna y contemporanea,Tusquets Editores,España,Español,Español,400,03-03-2021
13,Las Ratitas 4. Superaventura entre las nubes,"Ratitas, Las",Edad de interés: a partir de 5 años,Destino Infantil & Juvenil,España,Español,Español,144,24-03-2021
33,Un océano para llegar a ti,"Barneda, Sandra",Ficción moderna y contemporanea,Editorial Planeta,España,Español,Español,576,05-11-2020
47,Adelgaza con Kaoru,Kaoru,Forma física y alimentación,Kitsune Books,España,Español,Japonés,96,22-02-2021
77,todo lo que necesito existe ya en mí,"kaur, rupi",Poesía de poetas individuales,Seix Barral,España,Español,Inglés,200,10-02-2021
23,Niadela,"Montañez, Beatriz",Memorias,Errata Naturae Editores,España,Español,Español,344,15-03-2021
93,Yoga,"Carrère, Emmanuel",Historias reales,Editorial Anagrama,España,Español,Francés,336,24-02-2021
87,"Hanako-kun, el fantasma del lavabo 02","Iro, Aida",Novelas gráficas: manga,Ivrea,España,Español,Español,192,01-03-2021
68,Cómo el rey de Elfhame aprendió a odiar los cuentos,"Black, Holly",FICCIÓN E HISTORIAS REALES INFANTILES Y JUVENILES,Editorial Hidra,España,Español,Inglés,24,29-03-2021
4,El infinito en un junco,"Vallejo, Irene",Ensayos literarios,Siruela,España,Español,Español,452,15-03-2021
78,Arsène Lupin. Caballero ladrón,"Leblanc, Maurice",Género policíaco y misterio,Roca Bolsillo,España,Español,Español,224,11-03-2021
24,Un cuento perfecto,"Benavent, Elísabet",Narrativa romántica adulta y contemporánea,DEBOLSILLO,España,Español,Español,640,18-02-2021
52,Los crímenes de la carretera,"Barker, J.D. / Patterson, James",Obra de misterio y suspense,Ediciones Destino,España,Español,Inglés,624,17-03-2021
88,Las armas de la luz,"Sánchez Adalid, Jesús",Aventura histórica,HarperCollins,España,Español,Español,816,10-03-2021
94,El jardín de vidrio,"Tibuleac, Tatiana",Ficción moderna y contemporanea,Impedimenta,España,Español,Español,360,29-03-2021
14,El huerto de Emerson,"Landero, Luis",Ficción moderna y contemporanea,Tusquets Editores,España,Español,Español,240,03-02-2021
69,La Templanza,"Dueñas, María",Ficción moderna y contemporanea,Booket,España,Español,Español,544,17-03-2021
5,Breve tratado sobre la estupidez humana,"Moreno Castillo, Ricardo",Filosofía social y política,Fórcola Ediciones,España,Español,Español,120,19-09-2018
